Comment Text,Manual label
"Trời ơi quá trời bà gòi Trần Gia Hảo, rửa đii",1
Quá dữ luôn :3,1
coi teaser thoi mà trái tym tan nát 😢,0
Yến Nhi Phạm Tuấn Phong ủa nhìn 2 ac giống trong hình thế,2
Quá tuyệt,1
vào xin vía Nguyễn Trần Gia Hân An Lê Thành Hoàng Lan Anh Nguyễn,1
Quá đã lun mí bà ơi,1
Tăng Thành Định nhóm chị Hảo kìa :)) đỷnkk,1
Quá dữ ròi hai bà Lê Tuyết Nhung Trần Gia Hảo,1
Trần Gia Hảo giỏi quá c ơiii,1
Đăng Thanh chúc mừng thủ khoaaaa,1
rất là ✨ấy✨,1
Hóng quá trùi luôn Phim ngắn: Nốt Kết 😍😍😍,1
đi coi chiếc lá cuốn bay Tú Minh Phan Ngọc Vũ Quỳnh Hương Duong Vu,1
Đợi ngày công chiếu thôii nào mọi người ơiii 🎬🍿❤️,1
👄👄👄👄,1
Đã lunnn. Mng cùng đợi nhaaaaa,1
Phờ lâu tui để cập nhật thêm thông tin với nhaaa 😍🤩🥳,1
Mong chờ lắm lun,1
Nguyễn Đức Huy đi coi nhaaa,1
Meeeee quaaa,1
Wowww,1
Tuyệt vời a ơi,1
TUYỆT VỜI,1
Chúc mừng cháu.,1
Tuyệt vời quá,1
Vinh Thành Vũ ba mẹ tự hào em,1
Bâng Bâng Hải Hồng Lê Phương Nguyễn Huệ Mẫn con trai lon gioi qua🎉,1
Vinh Thành Vũ ác,0
Cố gắng lên con.,1
Cố gắng lên Cháu nhé!,1
Cả nước Việt Nam hướng về 2 bạn,1
Ngoài viết content còn biết viết research,1
Sv ngành hướng về 2 bạn,1
"The Gen Z’s view of KOLs Reviewing Food on Tiktok Platform in VietNam FPT Students' Perspective
Luu My Tam1, Nguyen Doan Nhat Thang2, Tran Hoang Hao3, Nguyen Huu Duc4, Hoang Duy Anh5 (1,2,3,4,5FPT University, Vietnam)",1
2 con giỏi quá.❤❤❤,1
2 bạn giỏi quá,1
Tự hào quá,1
Cố lơnnnnn,1
Cố lên 2 bạnnnnn,1
Tự hào quá bạn tui,1
Đỉnh quá ạ,1
Yayyyyyyy,1
Tự hào Việt Nam,1
Chị xinh quá choa em ôm mín,1
hoi mà hong khók nữa 🥲,0
awwww tan nát cõi lòng 😭😭,0
Xịn dữ dẫyyyyy,1
coi teaser thoi mà trái tym tan nát 😢,0
Hóng quá hónggg,1
Hấp dẫn quá😮,1
Tò mò quá ạ,1
Làm tò mò quá ạk 🥹,1
Cuộc sống trong mơ mà sao buồn quá 😢,1
Siuuuu phẩm,1
Nguyễn Ánh Đoàn Dương Mỹ Hạnh mang phấn theo hôm 24 dặm cho ekip nha 🥰,1
Nguyễn Trọng Nhân Minh Kiet Pham Huu Đoàn Dương Mỹ Hạnh Phương Linh halik dinh đi coi đủ kh ạ,2
Lôi Bảo Thông Minh Phạm đi coi ủng hộ tụi tui đi,1
Yến Nhi Phạm Tuấn Phong ủa nhìn 2 ac giống trong hình thế,2
chòi mê Quy Hòa Nguyễn Châu Bích Trâmm Nguyễn Khiêm Huỳnh Thanh Nguyễn Đức Minh Quân Phan Thanh Qui,1
Minh Nhật chai rụ xịn quó cậuuuu,1
Đây là bộ phim mà ad hứa là đỉnh lắm luôn :3,1
Nhìn poster chiến dẫy😍❤️‍🔥❤️‍🔥,1
poster choáy vl!! 🥳🥳,1
ủa Cô Nhum kìaaaaaaaa,2
cứu hỏa phải đi tìm TDK Production nữa rùi 🔥🔥,1
Mới thấy ông admin bên Megalodon Studio share :3 qua đây hóng ké,1
Line up này xịn quáaa,1
mùa hè này choáy,1
Ái Phương😍😍😍😍,1
Chờ gì nữa đượt ròi đi thoy 💃🕺,1
xịn quá,1
đã quáaa,1
Tuỵt,1
Đăng ký casting ngay nào mng ơi 🔥🔥🔥🔥,1
Các bạn có thể ghé qua fanpage của Lê Lực Production để xem thông tin chi tiết nha 🍐🔥,1
"wow, phim gì hay quá nè, có ai đi casting với mình khommmm",1
Trần My chị ơi rủ chị phù thủy đi apply chung đi 🥹,1
"Hình như đây là page tổ chức casting nè mng 👇👇
https://www.facebook.com/LeLucProduction",1
Ô mai gót casting thôi,1
Cảm ơn page Multimedia Communications - FPT University HCM đã hỗ trợ truyền thông cho Lê Lực Production ạ🔥🤩💝,1
Lương Nhật Thii alo lên casting nè,1
Huy Tran vai Đan đi?,2
Đỗ Nhi cast hok,2
Tống Khánh Vân apply đi bạn,1
Ziệt Thư đi casting nè :))),1
Xuân Thùy alo thỳ ơi thỳyyy,1
Vladimir Dương casting đi hợp kìa,1
Tran Thi Yen Thi alooooo đky casting nè,1
Que Anh cast đi,1
Ngộ Quang đi cast luôn k?,2
Nhật Huyền Nguyễn Ngọc Phương Linh biết là xa nhưng anh có thể đặt vé 🥺🤌,1
yayyyyy casting nào cả nhà ơi Ngọc Phương Hải Lâm Đức Hùng Phạm Hà Thảo My Huyen To The Trang,1
Linhh Nhi aloo casting khum,2
🫣,1
Quá đỉnkk luonn cac cậu chúc mừng các cậu 🤩🤩🤩,1
Chúc mừng mọi người ❤🥰,1
cho em đi chung với được honk,1
mê nhóm này quá,1
Dui quá nèeee,1
Quá tiệt zời 🫶🫶🫶🫶,1
Congratulations 🍾🎉,1
"20's Production cảm ơn mọi người đã quan tâm đến dự án của chúng mình. Sau khi xem phim ngắn ""Sau Cơn Mưa"" rất mong chờ những phản hồi từ các bạn về dự án phim ngắn ""Sau Cơn Mưa"": https://forms.gle/T43P7zhaWuSY5r8j6",1
Phim này siêu ý nghĩa 😍😍,1
Qua xem liềnnn đâyyyy,1
Wow !!!,1
"Tiến Phương bis, bis",1
Là cuộc thi trong trường nhưng giải thưởng thật lớn,1
SV FPT sướng quá vậy !,1
Trên cả toẹt dời😊,1
Em cũng muốn làm sinh viên ngành du lịch FPT😀,1
Quá tuyệt vời!,1
Phạm Hoài Khang đk thi chưa z 🌚,2
Huỳnh Tài Sang biến ra phân thân giúp t đi thi đi 🥲🥲,2
"Trường sịn quá z, cuộc thi cũng k kém",1
Hoàng Minh nhớ đăng kí thi nha ông,1
Long Huynh Hoang  dậy đi thi,1
Wow,1
Minh Tấn tuỵt,1
🚗🚗🚗,2
Khánh Linh game on,1
Là cuộc thi trong trường nhưng giải thưởng thật lớn,1
SV FPT sướng quá vậy !,1
Trên cả toẹt dời😊,1
Em cũng muốn làm sinh viên ngành du lịch FPT😀,1
Quá tuyệt vời!,1
Phạm Hoài Khang đk thi chưa z 🌚,2
Huỳnh Tài Sang biến ra phân thân giúp t đi thi đi 🥲🥲,0
"Trường sịn quá z, cuộc thi cũng k kém",1
Hoàng Minh nhớ đăng kí thi nha ông,1
Long Huynh Hoang dậy đi thi,1
Wow,1
Minh Tấn tuỵt,1
🚗🚗🚗,1
Khánh Linh game on,1
Ko mấy thả phần nộ đi hết luôn đc không ta,2
Hma em vote Hạ Long nhe,1
Đuy thoai :))),1
Để 14 slot đi HG đê :>> Viết Hoàng Gia Bảo Bảo Ngọc,1
Chị muốn đi Hạ Long :),1
Nguyễn Hoàng Đức Phương La Thị Kiều Sương chắc là lúc này CAĐN vs CTTĐN không cần đến nữa nhỉ,1
Hạ Longggggggggggggggg,1
Khánh Ly Mai Hồ phải làm sao:>,2
::D em muốn đi hết ::D,1
Công Thành Lương đến hẹn lại lên em eii,1
Muốn đi hết ạ😆,1
Điện Biên nha,2
"em là sv mới, cho e còn tiền ăn tiền ở thì ntn ạ",2
Nam Huy Ngoc Anh Trảo Hằng mời chọn 🙋🏻‍♂️,1
Giáp Nhi cũng ham,1
Khánh Linh Tạ Đoàn Nguyễn Phương Thảo Nguyễn Uyên Trà Lê Văn các em mình ơi...,2
Phan Thanh Tùng 🙂 là nóng chưa,1
Ngoc Anh Thanh Nhã đi thôyyyyy,1
Akdu cháy Trương Hoàng Huyền Minh,1
An Khang  chọn đi,1
Văn Viết Thiên Kim,1
Thụy Trâm,1
Nguyễn Yến Nhi Quỳnh Như,1
Phạm Quốc Trung 😱,1
😌,1
Nhật Minh,1
"CHỈ CÒN 12 SLOT CUỐI TRẢI NGHIỆM 48H MỌI NGƯỜI NHANH TAY ĐIỀN FORM ĐĂNG KÍ TRẢI NGHIỆM VỚI CHỦ ĐỀ ""HỒN THIÊN ÂU LẠC"" NHÉ",1
